user,brand,model,start_year,curr_year,end_year,last_scraped
chris,hyundai,creta,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,elantra,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,equus,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,excel,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,galloper,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,genesis,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,genesis-coupe,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,getz,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,grace,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,grand-santa-fe,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,grandeur,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,h-100,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,h-200,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,h-300,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,h-350,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,h-1,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,highway,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i10,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i20,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i30,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i40,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i50,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,i800,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,ioniq-5,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,ioniq-6,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,ix20,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,ix35,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,ix55,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,kona,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,lantra,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,matrix,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,nexo,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,nf,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,palisade,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,pony,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,porter,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,s-coupe,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,santa-fe,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,santamo,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,satellite,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,solaris,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,sonata,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,sonica,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,starex,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,staria,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,stellar,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,terracan,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,tiburon,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,trajet,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,tucson,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,veloster,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,veracruz,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,verna,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,xg-20,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,xg-30,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,xg-350,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,sonstige,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,cybertruck,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,model-3,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,model-s,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,model-x,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,model-y,2005.0,2005.0,2024.0,not yet scraped
chris,tesla,roadster,2005.0,2005.0,2024.0,not yet scraped
